RelatÃ³rio de Desempenho do Servidor
===========================================================
Timestamp, CPU Usage (%), Memory Usage (KB)
2025-02-17 13:19:54, 3.2419, 15838012
2025-02-17 13:19:55, 2.26131, 15839272
2025-02-17 13:19:56, 0.5, 15839272
2025-02-17 13:19:57, 4.79798, 15853316
2025-02-17 13:19:58, 0.503778, 15853316
2025-02-17 13:19:59, 4, 15854072
2025-02-17 13:20:00, 3.53535, 15872884
2025-02-17 13:20:01, 3.28283, 15830960
2025-02-17 13:20:02, 1.5, 15853620
2025-02-17 13:20:03, 3.53535, 15850596
2025-02-17 13:20:04, 2.76382, 15850596
2025-02-17 13:20:05, €ÌG}ÿ2.99252, 15850848
2025-02-17 13:20:06, 0.250627, 15850848
2025-02-17 13:20:07, 1.25628, 15851352
2025-02-17 13:20:08, 5.97015, 15839956
2025-02-17 13:20:09, 3.52645, 15840460
2025-02-17 13:20:10, 1.50376, 15840712
2025-02-17 13:20:11, 6.03015, 15858500
2025-02-17 13:20:12, 0.251256, 15858752
2025-02-17 13:20:13, 3.27456, 15833016
2025-02-17 13:20:14, 5, 15833016
2025-02-17 13:20:15, 2.50627, 15833772
2025-02-17 13:20:16, 0, 15833772
2025-02-17 13:20:17, 1.25, 15834276
2025-02-17 13:20:18, 1.99501, 15834528
2025-02-17 13:20:19, 6.51629, 15851404
2025-02-17 13:20:20, 2.76382, 15852156
2025-02-17 13:20:21, 5.05051, 15863168
2025-02-17 13:20:22, 1.50376, 15844220
2025-02-17 13:20:23, 0.250627, 15844220
2025-02-17 13:20:24, 6.78392, 15863496
2025-02-17 13:20:25, 2.75, 15863748
2025-02-17 13:20:26, 1.50376, 15864000
2025-02-17 13:20:27, 0, 15864252
2025-02-17 13:20:28, 2.01005, 15865260
2025-02-17 13:20:29, 3, 15865260
2025-02-17 13:20:30, 6.06061, 15834480
2025-02-17 13:20:31, 5.02513, 15844068
2025-02-17 13:20:32€ÌG}ÿ, 1.50376, 15844824
2025-02-17 13:20:33, 0.5, 15844824
2025-02-17 13:20:34, 3.52645, 15846084
2025-02-17 13:20:35, 5.51378, 15829932
2025-02-17 13:20:36, 1.50376, 15830684
2025-02-17 13:20:37, 3.01508, 15830936
2025-02-17 13:20:38, 2.74314, 15831944
2025-02-17 13:20:39, 2.76382, 15832196
2025-02-17 13:20:40, 10.6599, 15862724
2025-02-17 13:20:41, 8.0402, 15877816
2025-02-17 13:20:42, 1.26263, 15877816
2025-02-17 13:20:43, 0.74813, 15877816
2025-02-17 13:20:44, 3.52645, 15878320
2025-02-17 13:20:45, 1.99501, 15878320
2025-02-17 13:20:46, 5.51378, 15837740
2025-02-17 13:20:47, 0.250627, 15838244
2025-02-17 13:20:48, 2.25, 15840760
2025-02-17 13:20:49, 3.50877, 15841012
2025-02-17 13:20:50, 3, 15842776
2025-02-17 13:20:51, 6.56566, 15842144
2025-02-17 13:20:52, 3.75, 15842900
2025-02-17 13:20:53, 0.74813, 15842900
2025-02-17 13:20:54, 4.25, 15843400
2025-02-17 13:20:55, 1.25945, 15843400
2025-02-17 13:20:56, 1.50376, 15844660
2025-02-17 13:20:57, 4.01003, 15841996
2025-02-17 13:20:58, 2.5, 15843252
2025-02-17 13€ÌG}ÿ:20:59, 2.75, 15843252
2025-02-17 13:21:00, 2.51256, 15844260
2025-02-17 13:21:01, 2.75689, 15888976
2025-02-17 13:21:02, 7.82828, 15838836
2025-02-17 13:21:03, 0.250627, 15838836
2025-02-17 13:21:04, 2.5, 15820596
2025-02-17 13:21:05, 3.25, 15820848
2025-02-17 13:21:06, 1.00756, 15822360
2025-02-17 13:21:07, 2.24439, 15857268
2025-02-17 13:21:08, 3.78788, 15830176
2025-02-17 13:21:09, 0.5, 15830176
2025-02-17 13:21:10, 5.01253, 15830428
2025-02-17 13:21:11, 0.251256, 15830428
2025-02-17 13:21:12, 6.28141, 15870560
2025-02-17 13:21:13, 4.98753, 15857420
2025-02-17 13:21:14, 0.502513, 15857252
2025-02-17 13:21:15, 5.01253, 15856496
2025-02-17 13:21:16, 0.74813, 15856496
2025-02-17 13:21:17, 1.50376, 15856244
2025-02-17 13:21:18, 3.97022, 15833360
2025-02-17 13:21:19, 2.53165, 15835372
2025-02-17 13:21:20, 4.27136, 15835620
2025-02-17 13:21:21, 1.74564, 15837636
2025-02-17 13:21:22, 5.01253, 15838252
2025-02-17 13:21:23, 1.75439, 15841272
2025-02-17 13:21:24, 3.77834, 15869992
2025-02-17 13:21:25, 6, 15870496
2€ÌG}ÿ025-02-17 13:21:26, 0.5, 15870496
2025-02-17 13:21:27, 1.75, 15871504
2025-02-17 13:21:28, 1.49626, 15871756
2025-02-17 13:21:29, 5.06329, 15847608
2025-02-17 13:21:30, 4.5, 15847856
2025-02-17 13:21:31, 1.25, 15849620
2025-02-17 13:21:32, 5.79345, 15848216
2025-02-17 13:21:33, 5.76441, 15858980
2025-02-17 13:21:34, 1.50754, 15884548
2025-02-17 13:21:35, 32.9114, 15870688
2025-02-17 13:21:36, 0.501253, 15870688
2025-02-17 13:21:37, 4.03023, 15871192
2025-02-17 13:21:38, 2.01511, 15871192
2025-02-17 13:21:39, 1.25628, 15872704
2025-02-17 13:21:40, 8.06045, 15839084
2025-02-17 13:21:41, 1.50376, 15840344
2025-02-17 13:21:42, 6.54912, 15828100
2025-02-17 13:21:43, 3.74065, 15833388
2025-02-17 13:21:44, 0.502513, 15833388
2025-02-17 13:21:45, 6.56566, 15859580
2025-02-17 13:21:46, 2.75689, 15859524
2025-02-17 13:21:47, 8.27068, 15860016
2025-02-17 13:21:48, 2.75, 15860520
2025-02-17 13:21:49, 3.52645, 15834680
2025-02-17 13:21:50, 4.78589, 15835184
2025-02-17 13:21:51, 7.57576, 15872168
2025-02-17 13:21:52, 9.848€ÌG}ÿ48, 15877388
2025-02-17 13:21:53, 2.77078, 15879540
2025-02-17 13:21:54, 2.50627, 15880436
2025-02-17 13:21:55, 5.52764, 15880940
